date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:39:45	76/76	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Jul%202020%2012:00:02%20GMT	https://pages.landingcube.com/robots.txt		(from )
17:39:47	150586/150586	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Jul%202020%2012:00:04%20GMT	https://pages.landingcube.com/product/car-toy/	C:/Users/sc/Downloads/USV/Landing%20Pages/car-toy/pages.landingcube.com/product/car-toy/index.html	(from )
17:39:49	34326/34326	---M--	200	added ('OK')	image/jpeg	etag:%2240e7c23c2daa291b816339659d5bb2e9%22	https://cdn.landingcube.com/1/products/24339/product_image_5f07061d16f9a.jpg	C:/Users/sc/Downloads/USV/Landing%20Pages/car-toy/cdn.landingcube.com/1/products/24339/product_image_5f07061d16f9a.jpg	(from https://pages.landingcube.com/product/car-toy/)
17:39:49	8362/8362	---M-Z	200	added ('OK')	text/css	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/style.min.css?ver=38.0.0	C:/Users/sc/Downloads/USV/Landing%20Pages/car-toy/pages.landingcube.com/wp-content/themes/landingcube/style.min85ac.css	(from https://pages.landingcube.com/product/car-toy/)
17:39:51	32526/32526	---MC-	200	added ('OK')	text/css	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/layout_2.min.css?ver=38.0.0	C:/Users/sc/Downloads/USV/Landing%20Pages/car-toy/pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/layout_2.min85ac.css	(from https://pages.landingcube.com/product/car-toy/)
17:39:52	7503/7503	---MC-	200	added ('OK')	image/png	etag:%22Ol7Oow%22	https://pages.landingcube.com/apple-touch-icon.png	C:/Users/sc/Downloads/USV/Landing%20Pages/car-toy/pages.landingcube.com/apple-touch-icon.png	(from https://pages.landingcube.com/product/car-toy/)
17:39:52	1656/1656	---M--	200	added ('OK')	image/png	etag:%22Ol7Oow%22	https://pages.landingcube.com/favicon-32x32.png	C:/Users/sc/Downloads/USV/Landing%20Pages/car-toy/pages.landingcube.com/favicon-32x32.png	(from https://pages.landingcube.com/product/car-toy/)
17:39:53	1015/1015	---M--	200	added ('OK')	image/png	etag:%22Ol7Oow%22	https://pages.landingcube.com/favicon-16x16.png	C:/Users/sc/Downloads/USV/Landing%20Pages/car-toy/pages.landingcube.com/favicon-16x16.png	(from https://pages.landingcube.com/product/car-toy/)
17:39:54	137171/137171	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2009%20Jul%202020%2012:00:11%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/sc/Downloads/USV/Landing%20Pages/car-toy/connect.facebook.net/en_US/fbevents.js	(from https://pages.landingcube.com/product/car-toy/)
17:39:55	48522/48522	---M--	200	added ('OK')	image/jpeg	etag:%224bdf9f3ddd0eff1ea6ff49f8d3abb1fb%22	https://cdn.landingcube.com/1/products/24339/product_image_5f07061d63d93.jpg	C:/Users/sc/Downloads/USV/Landing%20Pages/car-toy/cdn.landingcube.com/1/products/24339/product_image_5f07061d63d93.jpg	(from https://pages.landingcube.com/product/car-toy/)
17:39:55	58840/58840	---M--	200	added ('OK')	image/jpeg	etag:%229c45146278ee7ff9b014eebe3103eb8e%22	https://cdn.landingcube.com/1/products/24339/product_image_5f07061db1ab4.jpg	C:/Users/sc/Downloads/USV/Landing%20Pages/car-toy/cdn.landingcube.com/1/products/24339/product_image_5f07061db1ab4.jpg	(from https://pages.landingcube.com/product/car-toy/)
17:39:56	31222/31222	---M--	200	added ('OK')	image/jpeg	etag:%22524a490d06f733f26be46c2ca62b197e%22	https://cdn.landingcube.com/1/products/24339/product_image_5f07061e11eb0.jpg	C:/Users/sc/Downloads/USV/Landing%20Pages/car-toy/cdn.landingcube.com/1/products/24339/product_image_5f07061e11eb0.jpg	(from https://pages.landingcube.com/product/car-toy/)
17:39:57	52222/52222	---M--	200	added ('OK')	image/jpeg	etag:%220ccffd2c4ef63700c8f18b5057635865%22	https://cdn.landingcube.com/1/products/24339/product_image_5f07061e5fdb2.jpg	C:/Users/sc/Downloads/USV/Landing%20Pages/car-toy/cdn.landingcube.com/1/products/24339/product_image_5f07061e5fdb2.jpg	(from https://pages.landingcube.com/product/car-toy/)
17:39:58	7427/7427	---M--	200	added ('OK')	image/png	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/assets/available_at_amazon_en_vertical.png	C:/Users/sc/Downloads/USV/Landing%20Pages/car-toy/pages.landingcube.com/wp-content/themes/landingcube/assets/available_at_amazon_en_vertical.png	(from https://pages.landingcube.com/product/car-toy/)
17:39:59	96873/96873	---M-Z	200	added ('OK')	application/javascript	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/Users/sc/Downloads/USV/Landing%20Pages/car-toy/pages.landingcube.com/wp-includes/js/jquery/jquery4a5f.js	(from https://pages.landingcube.com/product/car-toy/)
17:39:59	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/sc/Downloads/USV/Landing%20Pages/car-toy/pages.landingcube.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://pages.landingcube.com/product/car-toy/)
17:40:00	2911/2911	---M-Z	200	added ('OK')	application/javascript	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/js/campaign_common.min.js?ver=38.0.0	C:/Users/sc/Downloads/USV/Landing%20Pages/car-toy/pages.landingcube.com/wp-content/themes/landingcube/js/campaign_common.min85ac.js	(from https://pages.landingcube.com/product/car-toy/)
17:40:01	1315/1315	---M-Z	200	added ('OK')	application/javascript	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/js/product_page.min.js?ver=38.0.0	C:/Users/sc/Downloads/USV/Landing%20Pages/car-toy/pages.landingcube.com/wp-content/themes/landingcube/js/product_page.min85ac.js	(from https://pages.landingcube.com/product/car-toy/)
17:40:01	43881/43881	---M-Z	200	added ('OK')	application/javascript	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/third-party/slick/slick.min.js?ver=38.0.0	C:/Users/sc/Downloads/USV/Landing%20Pages/car-toy/pages.landingcube.com/wp-content/themes/landingcube/third-party/slick/slick.min85ac.js	(from https://pages.landingcube.com/product/car-toy/)
