date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:43:35	76/76	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Jul%202020%2007:03:52%20GMT	https://pages.landingcube.com/robots.txt		(from )
12:43:37	91916/91916	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Jul%202020%2007:03:54%20GMT	https://pages.landingcube.com/product/nail-art/	C:/Users/sc/Downloads/USV/Landing%20Pages/nail-art/pages.landingcube.com/product/nail-art/index.html	(from )
12:43:38	47418/47418	---M--	200	added ('OK')	image/jpeg	etag:%225bc7d57a10f775366646950eac61d0b0%22	https://cdn.landingcube.com/1/products/24339/product_image_5f06c0f9eebd4.jpg	C:/Users/sc/Downloads/USV/Landing%20Pages/nail-art/cdn.landingcube.com/1/products/24339/product_image_5f06c0f9eebd4.jpg	(from https://pages.landingcube.com/product/nail-art/)
12:43:38	8362/8362	---M-Z	200	added ('OK')	text/css	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/style.min.css?ver=38.0.0	C:/Users/sc/Downloads/USV/Landing%20Pages/nail-art/pages.landingcube.com/wp-content/themes/landingcube/style.min85ac.css	(from https://pages.landingcube.com/product/nail-art/)
12:43:39	32526/32526	---MC-	200	added ('OK')	text/css	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/layout_2.min.css?ver=38.0.0	C:/Users/sc/Downloads/USV/Landing%20Pages/nail-art/pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/layout_2.min85ac.css	(from https://pages.landingcube.com/product/nail-art/)
12:43:40	7503/7503	---M--	200	added ('OK')	image/png	etag:%22Ol7Oow%22	https://pages.landingcube.com/apple-touch-icon.png	C:/Users/sc/Downloads/USV/Landing%20Pages/nail-art/pages.landingcube.com/apple-touch-icon.png	(from https://pages.landingcube.com/product/nail-art/)
12:43:41	1656/1656	---M--	200	added ('OK')	image/png	etag:%22Ol7Oow%22	https://pages.landingcube.com/favicon-32x32.png	C:/Users/sc/Downloads/USV/Landing%20Pages/nail-art/pages.landingcube.com/favicon-32x32.png	(from https://pages.landingcube.com/product/nail-art/)
12:43:41	1015/1015	---M--	200	added ('OK')	image/png	etag:%22Ol7Oow%22	https://pages.landingcube.com/favicon-16x16.png	C:/Users/sc/Downloads/USV/Landing%20Pages/nail-art/pages.landingcube.com/favicon-16x16.png	(from https://pages.landingcube.com/product/nail-art/)
12:43:42	137171/137171	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2009%20Jul%202020%2007:03:59%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/sc/Downloads/USV/Landing%20Pages/nail-art/connect.facebook.net/en_US/fbevents.js	(from https://pages.landingcube.com/product/nail-art/)
12:43:42	48714/48714	---M--	200	added ('OK')	image/jpeg	etag:%22284eeb453c7f396c4bfd894d65661434%22	https://cdn.landingcube.com/1/products/24339/product_image_5f06c0fa4592f.jpg	C:/Users/sc/Downloads/USV/Landing%20Pages/nail-art/cdn.landingcube.com/1/products/24339/product_image_5f06c0fa4592f.jpg	(from https://pages.landingcube.com/product/nail-art/)
12:43:43	7427/7427	---M--	200	added ('OK')	image/png	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/assets/available_at_amazon_en_vertical.png	C:/Users/sc/Downloads/USV/Landing%20Pages/nail-art/pages.landingcube.com/wp-content/themes/landingcube/assets/available_at_amazon_en_vertical.png	(from https://pages.landingcube.com/product/nail-art/)
12:43:44	96873/96873	---M-Z	200	added ('OK')	application/javascript	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/Users/sc/Downloads/USV/Landing%20Pages/nail-art/pages.landingcube.com/wp-includes/js/jquery/jquery4a5f.js	(from https://pages.landingcube.com/product/nail-art/)
12:43:44	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/sc/Downloads/USV/Landing%20Pages/nail-art/pages.landingcube.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://pages.landingcube.com/product/nail-art/)
