date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:21:55	76/76	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Jul%202020%2011:42:13%20GMT	https://pages.landingcube.com/robots.txt		(from )
17:21:57	46818/46818	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Jul%202020%2011:42:14%20GMT	https://pages.landingcube.com/product/skipping-rope-black/	C:/Users/sc/Downloads/USV/Landing%20Pages/skipping-rope-black/pages.landingcube.com/product/skipping-rope-black/index.html	(from )
17:21:58	18147/18147	---M--	200	added ('OK')	image/jpeg	etag:%2235a1bac9bdf8f11d8d7b7d3d3d688753%22	https://cdn.landingcube.com/1/products/24339/product_image_5f06e0d8eb71a.jpg	C:/Users/sc/Downloads/USV/Landing%20Pages/skipping-rope-black/cdn.landingcube.com/1/products/24339/product_image_5f06e0d8eb71a.jpg	(from https://pages.landingcube.com/product/skipping-rope-black/)
17:21:58	8362/8362	---M-Z	200	added ('OK')	text/css	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/style.min.css?ver=38.0.0	C:/Users/sc/Downloads/USV/Landing%20Pages/skipping-rope-black/pages.landingcube.com/wp-content/themes/landingcube/style.min85ac.css	(from https://pages.landingcube.com/product/skipping-rope-black/)
17:21:59	32526/32526	---MC-	200	added ('OK')	text/css	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/layout_2.min.css?ver=38.0.0	C:/Users/sc/Downloads/USV/Landing%20Pages/skipping-rope-black/pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/layout_2.min85ac.css	(from https://pages.landingcube.com/product/skipping-rope-black/)
17:22:00	7503/7503	---MC-	200	added ('OK')	image/png	etag:%22Ol7Oow%22	https://pages.landingcube.com/apple-touch-icon.png	C:/Users/sc/Downloads/USV/Landing%20Pages/skipping-rope-black/pages.landingcube.com/apple-touch-icon.png	(from https://pages.landingcube.com/product/skipping-rope-black/)
17:22:01	1656/1656	---MC-	200	added ('OK')	image/png	etag:%22Ol7Oow%22	https://pages.landingcube.com/favicon-32x32.png	C:/Users/sc/Downloads/USV/Landing%20Pages/skipping-rope-black/pages.landingcube.com/favicon-32x32.png	(from https://pages.landingcube.com/product/skipping-rope-black/)
17:22:02	1015/1015	---MC-	200	added ('OK')	image/png	etag:%22Ol7Oow%22	https://pages.landingcube.com/favicon-16x16.png	C:/Users/sc/Downloads/USV/Landing%20Pages/skipping-rope-black/pages.landingcube.com/favicon-16x16.png	(from https://pages.landingcube.com/product/skipping-rope-black/)
17:22:03	137171/137171	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2009%20Jul%202020%2011:42:20%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/sc/Downloads/USV/Landing%20Pages/skipping-rope-black/connect.facebook.net/en_US/fbevents.js	(from https://pages.landingcube.com/product/skipping-rope-black/)
17:22:03	39839/39839	---M--	200	added ('OK')	image/jpeg	etag:%22d247a6791996f1f7eaba9782d19905b5%22	https://cdn.landingcube.com/1/products/24339/product_image_5f06e0d94143e.jpg	C:/Users/sc/Downloads/USV/Landing%20Pages/skipping-rope-black/cdn.landingcube.com/1/products/24339/product_image_5f06e0d94143e.jpg	(from https://pages.landingcube.com/product/skipping-rope-black/)
17:22:04	17294/17294	---M--	200	added ('OK')	image/jpeg	etag:%22d29b2e14a15d3cadba0cb16d161b5a20%22	https://cdn.landingcube.com/1/products/24339/product_image_5f06e0d988a5e.jpg	C:/Users/sc/Downloads/USV/Landing%20Pages/skipping-rope-black/cdn.landingcube.com/1/products/24339/product_image_5f06e0d988a5e.jpg	(from https://pages.landingcube.com/product/skipping-rope-black/)
17:22:05	7427/7427	---M--	200	added ('OK')	image/png	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/assets/available_at_amazon_en_vertical.png	C:/Users/sc/Downloads/USV/Landing%20Pages/skipping-rope-black/pages.landingcube.com/wp-content/themes/landingcube/assets/available_at_amazon_en_vertical.png	(from https://pages.landingcube.com/product/skipping-rope-black/)
17:22:06	96873/96873	---M-Z	200	added ('OK')	application/javascript	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/Users/sc/Downloads/USV/Landing%20Pages/skipping-rope-black/pages.landingcube.com/wp-includes/js/jquery/jquery4a5f.js	(from https://pages.landingcube.com/product/skipping-rope-black/)
17:22:06	10056/10056	---MC-	200	added ('OK')	application/javascript	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/sc/Downloads/USV/Landing%20Pages/skipping-rope-black/pages.landingcube.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://pages.landingcube.com/product/skipping-rope-black/)
17:22:07	2911/2911	---M-Z	200	added ('OK')	application/javascript	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/js/campaign_common.min.js?ver=38.0.0	C:/Users/sc/Downloads/USV/Landing%20Pages/skipping-rope-black/pages.landingcube.com/wp-content/themes/landingcube/js/campaign_common.min85ac.js	(from https://pages.landingcube.com/product/skipping-rope-black/)
17:22:08	1315/1315	---M-Z	200	added ('OK')	application/javascript	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/js/product_page.min.js?ver=38.0.0	C:/Users/sc/Downloads/USV/Landing%20Pages/skipping-rope-black/pages.landingcube.com/wp-content/themes/landingcube/js/product_page.min85ac.js	(from https://pages.landingcube.com/product/skipping-rope-black/)
