date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:22:19	76/76	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Jul%202020%2010:42:31%20GMT	https://pages.landingcube.com/robots.txt		(from )
16:22:21	19959/19959	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Jul%202020%2010:42:31%20GMT	https://pages.landingcube.com/product/talking-tom-toy/	C:/Users/sc/Downloads/my%20website/Landing/pages.landingcube.com/product/talking-tom-toy/index.html	(from )
16:22:51	13933/13933	---M--	200	added ('OK')	image/jpeg	etag:%22b9aaac0e80896a2f8f6b8cd3c2eb5467%22	https://cdn.landingcube.com/1/products/24339/product_image_5f02c8d6cf6f3.jpg	C:/Users/sc/Downloads/my%20website/Landing/cdn.landingcube.com/1/products/24339/product_image_5f02c8d6cf6f3.jpg	(from https://pages.landingcube.com/product/talking-tom-toy/)
16:22:52	8362/8362	---M-Z	200	added ('OK')	text/css	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/style.min.css?ver=38.0.0	C:/Users/sc/Downloads/my%20website/Landing/pages.landingcube.com/wp-content/themes/landingcube/style.min85ac.css	(from https://pages.landingcube.com/product/talking-tom-toy/)
16:22:53	32526/32526	---M-Z	200	added ('OK')	text/css	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/layout_2.min.css?ver=38.0.0	C:/Users/sc/Downloads/my%20website/Landing/pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/layout_2.min85ac.css	(from https://pages.landingcube.com/product/talking-tom-toy/)
16:22:53	7503/7503	---M--	200	added ('OK')	image/png	etag:%22Ol7Oow%22	https://pages.landingcube.com/apple-touch-icon.png	C:/Users/sc/Downloads/my%20website/Landing/pages.landingcube.com/apple-touch-icon.png	(from https://pages.landingcube.com/product/talking-tom-toy/)
16:22:54	1656/1656	---M--	200	added ('OK')	image/png	etag:%22Ol7Oow%22	https://pages.landingcube.com/favicon-32x32.png	C:/Users/sc/Downloads/my%20website/Landing/pages.landingcube.com/favicon-32x32.png	(from https://pages.landingcube.com/product/talking-tom-toy/)
16:22:55	1015/1015	---M--	200	added ('OK')	image/png	etag:%22Ol7Oow%22	https://pages.landingcube.com/favicon-16x16.png	C:/Users/sc/Downloads/my%20website/Landing/pages.landingcube.com/favicon-16x16.png	(from https://pages.landingcube.com/product/talking-tom-toy/)
16:22:57	137171/137171	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2007%20Jul%202020%2010:43:08%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/sc/Downloads/my%20website/Landing/connect.facebook.net/en_US/fbevents.js	(from https://pages.landingcube.com/product/talking-tom-toy/)
16:22:57	17639/17639	---M--	200	added ('OK')	image/jpeg	etag:%22155f30b6c4fdbf70b8e3a1417d90f1b6%22	https://cdn.landingcube.com/1/products/24339/product_image_5f02c8d71b564.jpg	C:/Users/sc/Downloads/my%20website/Landing/cdn.landingcube.com/1/products/24339/product_image_5f02c8d71b564.jpg	(from https://pages.landingcube.com/product/talking-tom-toy/)
