date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:38	76/76	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2008:06:53%20GMT	https://pages.landingcube.com/robots.txt		(from )
13:46:40	58222/58222	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2008:06:53%20GMT	https://pages.landingcube.com/product/volleyball/	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/pages.landingcube.com/product/volleyball/index.html	(from )
13:46:41	26050/26050	---M--	200	added ('OK')	image/jpeg	etag:%2289cf5ac187e895a388bf3bc9652e4c1e%22	https://cdn.landingcube.com/1/products/24339/product_image_5f057de088493.jpg	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/cdn.landingcube.com/1/products/24339/product_image_5f057de088493.jpg	(from https://pages.landingcube.com/product/volleyball/)
13:46:41	8362/8362	---M-Z	200	added ('OK')	text/css	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/style.min.css?ver=38.0.0	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/pages.landingcube.com/wp-content/themes/landingcube/style.min85ac.css	(from https://pages.landingcube.com/product/volleyball/)
13:46:42	32526/32526	---MC-	200	added ('OK')	text/css	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/layout_2.min.css?ver=38.0.0	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/layout_2.min85ac.css	(from https://pages.landingcube.com/product/volleyball/)
13:46:43	7503/7503	---M--	200	added ('OK')	image/png	etag:%22Ol7Oow%22	https://pages.landingcube.com/apple-touch-icon.png	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/pages.landingcube.com/apple-touch-icon.png	(from https://pages.landingcube.com/product/volleyball/)
13:46:43	1656/1656	---M--	200	added ('OK')	image/png	etag:%22Ol7Oow%22	https://pages.landingcube.com/favicon-32x32.png	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/pages.landingcube.com/favicon-32x32.png	(from https://pages.landingcube.com/product/volleyball/)
13:46:44	1015/1015	---M--	200	added ('OK')	image/png	etag:%22Ol7Oow%22	https://pages.landingcube.com/favicon-16x16.png	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/pages.landingcube.com/favicon-16x16.png	(from https://pages.landingcube.com/product/volleyball/)
13:46:45	137171/137171	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2008%20Jul%202020%2008:06:59%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/connect.facebook.net/en_US/fbevents.js	(from https://pages.landingcube.com/product/volleyball/)
13:46:46	7427/7427	---M--	200	added ('OK')	image/png	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/assets/available_at_amazon_en_vertical.png	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/pages.landingcube.com/wp-content/themes/landingcube/assets/available_at_amazon_en_vertical.png	(from https://pages.landingcube.com/product/volleyball/)
13:46:47	96873/96873	---M-Z	200	added ('OK')	application/javascript	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/pages.landingcube.com/wp-includes/js/jquery/jquery4a5f.js	(from https://pages.landingcube.com/product/volleyball/)
13:46:47	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/pages.landingcube.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://pages.landingcube.com/product/volleyball/)
13:46:48	2911/2911	---M-Z	200	added ('OK')	application/javascript	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/js/campaign_common.min.js?ver=38.0.0	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/pages.landingcube.com/wp-content/themes/landingcube/js/campaign_common.min85ac.js	(from https://pages.landingcube.com/product/volleyball/)
13:46:49	1315/1315	---MC-	200	added ('OK')	application/javascript	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/js/product_page.min.js?ver=38.0.0	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/pages.landingcube.com/wp-content/themes/landingcube/js/product_page.min85ac.js	(from https://pages.landingcube.com/product/volleyball/)
13:46:49	43881/43881	---M-Z	200	added ('OK')	application/javascript	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/third-party/slick/slick.min.js?ver=38.0.0	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/pages.landingcube.com/wp-content/themes/landingcube/third-party/slick/slick.min85ac.js	(from https://pages.landingcube.com/product/volleyball/)
13:46:50	493/493	---MC-	200	added ('OK')	application/javascript	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/layout_2.min.js?ver=38.0.0	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/layout_2.min85ac.js	(from https://pages.landingcube.com/product/volleyball/)
13:46:51	14214/14214	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4939-3786%22	https://cdnjs.cloudflare.com/ajax/libs/iframe-resizer/3.6.1/iframeResizer.contentWindow.min.js?ver=3.6.1	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/cdnjs.cloudflare.com/ajax/libs/iframe-resizer/3.6.1/iframeResizer.contentWindow.mina7a0.js	(from https://pages.landingcube.com/product/volleyball/)
13:46:52	1434/1434	---M-Z	200	added ('OK')	application/javascript	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-includes/js/wp-embed.min.js?ver=5.4.2	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/pages.landingcube.com/wp-includes/js/wp-embed.min7661.js	(from https://pages.landingcube.com/product/volleyball/)
13:46:52	506/506	---M-Z	200	added ('OK')	image/svg+xml	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/assets/triangle.svg	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/assets/triangle.svg	(from https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/layout_2.min.css?ver=38.0.0)
13:46:54	249/249	---MCZ	200	added ('OK')	image/svg+xml	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/assets/reminder-svg-square-1.svg	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/assets/reminder-svg-square-1.svg	(from https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/layout_2.min.css?ver=38.0.0)
13:46:54	249/249	---MCZ	200	added ('OK')	image/svg+xml	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/assets/reminder-svg-square-2.svg	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/assets/reminder-svg-square-2.svg	(from https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/layout_2.min.css?ver=38.0.0)
13:46:55	72875/72875	---M-Z	200	added ('OK')	image/svg+xml	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/assets/testimonial-bg-world-left.svg	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/assets/testimonial-bg-world-left.svg	(from https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/layout_2.min.css?ver=38.0.0)
13:46:56	82042/82042	---MCZ	200	added ('OK')	image/svg+xml	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/assets/testimonial-bg-world-right.svg	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/assets/testimonial-bg-world-right.svg	(from https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/layout_2.min.css?ver=38.0.0)
13:46:57	325/325	---MCZ	200	added ('OK')	image/svg+xml	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/assets/left.svg	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/assets/left.svg	(from https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/layout_2.min.css?ver=38.0.0)
13:46:58	328/328	---MCZ	200	added ('OK')	image/svg+xml	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/assets/right.svg	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/assets/right.svg	(from https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/layout_2.min.css?ver=38.0.0)
13:46:59	605/605	---MCZ	200	added ('OK')	image/svg+xml	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/assets/circle.svg	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/assets/circle.svg	(from https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/layout_2.min.css?ver=38.0.0)
13:47:00	1816/1816	---M-Z	200	added ('OK')	image/svg+xml	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/assets/faq.svg	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/assets/faq.svg	(from https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/layout_2.min.css?ver=38.0.0)
13:47:01	519/519	---MCZ	200	added ('OK')	image/svg+xml	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/assets/drop-down.svg	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/assets/drop-down.svg	(from https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/layout_2.min.css?ver=38.0.0)
13:47:02	536/536	---M-Z	200	added ('OK')	image/svg+xml	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/assets/pattern.svg	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/assets/pattern.svg	(from https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/layout_2.min.css?ver=38.0.0)
13:47:03	1461/1461	---MCZ	200	added ('OK')	image/svg+xml	etag:%22Ol7Oow%22	https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/assets/email.svg	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/assets/email.svg	(from https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_2/layout_2.min.css?ver=38.0.0)
13:47:05	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Jul%202020%2008:07:19%20GMT	https://pages.landingcube.com/product/volleyball/POST	C:/Users/sc/Downloads/USV/Landing%20Pages/volleyball/pages.landingcube.com/product/volleyball/POST.1c.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
